token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
fucking funny,7297,198,21,1.1561678547848503e-05,4.996500070664787e-06,0.8389646820175809,0.052669825446992745,3.655634262792723
funny hot,7353,224,23,1.3079878761202346e-05,5.472357220251909e-06,0.8713729526120986,0.04794282078416367,3.9796262232338906
funny af,7341,460,66,2.686046531318339e-05,1.5703285936375043e-05,0.5367965457265029,0.017325718742998236,4.0781583273711774
funny <name>,7337,279,29,1.6291456135604707e-05,6.899928669013277e-06,0.8591388581774382,0.03806726697831949,4.403393665169732
too funny,17663,437,55,2.5517442047524222e-05,1.308607161364587e-05,0.6678260357510535,0.020470436280212657,4.667666268058375
<name> funny,889,205,11,1.1970424759136076e-05,2.617214322729174e-06,1.5203371492617528,0.09578735207411015,4.912310652769527
funny man,7360,192,5,1.1211324652459155e-05,1.1896428739678063e-06,2.2432796430558355,0.20520825994622888,4.9520611215965165
a funny,1766,546,65,3.188220448043072e-05,1.5465357361581484e-05,0.7234616957308191,0.017216406666010656,5.513714641427502
funny thing,7369,373,32,2.1780333830037837e-05,7.613714393393961e-06,1.0510701020873494,0.03393124279125072,5.7060004201257755
funny dude,7348,297,4,1.7342517821772753e-05,9.517142991742451e-07,2.9026646489172947,0.25336641749571814,5.766633338262929
be funny,3357,2705,482,0.00015795121450469797,0.00011468157305049654,0.3201700588994161,0.0024446702575282643,6.475459201908907
funny a,7340,1136,160,6.633367086038333e-05,3.80685719669698e-05,0.5553366852384052,0.007130575603231839,6.5764885634717105
funny one,7362,514,43,3.0013650371687527e-05,1.0230928716123135e-05,1.0762563372595864,0.025201621347475275,6.7795595634236525
funny shit,7365,379,12,2.2130687725427184e-05,2.8551428975227354e-06,2.0478613126633256,0.08597202464855458,6.98428518445269
funny guy,7352,402,10,2.3473710991086356e-05,2.3792857479356126e-06,2.2891001675901936,0.10248766522374433,7.150377938860712
funny episode,7349,710,50,4.145854428773958e-05,1.1896428739678064e-05,1.2484848259380499,0.021408732706390498,8.532725772349156
the funny,16491,2496,174,0.000145747220481969,4.139957201407966e-05,1.2587070792762347,0.0061480596467410695,16.05297904039188
funny,7334,17214,3027,0.001005165325872041,0.00072020979590011,0.3336498802230352,0.00038874878728447927,16.922185430190694
