token,feature_index,count_0,count_1,freq_0,freq_1,log_odds_ratio,variance,z_score
🌑 🌑,19677,137,495,7.999747278056792e-06,0.00011777464452281283,-2.6894725011846976,0.009319766742825086,-27.85893991693228
drunk,5937,815,799,4.758973745705318e-05,0.00019010493126005545,-1.3851014055825708,0.002478854456986446,-27.819931465611067
actress,2142,53,680,3.0947927426059125e-06,0.00016179143085962166,-3.956745035504605,0.020338796814122602,-27.744406392607175
season,14544,6645,2994,0.00038801693914370354,0.0007123581529319224,-0.6078562355577759,0.00048478687800329563,-27.607396212850578
who,18657,20915,7441,0.001221275287011371,0.0017704265250388894,-0.371874771537998,0.00018249990077525514,-27.527413075997494
️,19647,6659,2991,0.0003888344315662787,0.0007116443672075418,-0.6047475665301683,0.00048480549317097584,-27.46568048170724
cock,4842,446,604,2.6042972890608243e-05,0.00014370885917531102,-1.708158931983757,0.0038980775795536666,-27.35917750628514
lick,10516,566,661,3.305005079839522e-05,0.000157270787938544,-1.5600700186677603,0.0032799398053214024,-27.240254072195036
papa,13063,1555,1109,9.080005122173951e-05,0.00026386278944605943,-1.0669423275319314,0.0015450963076229125,-27.1433325399906
personality,13227,2297,1401,0.00013412714961822227,0.00033333793328577934,-0.9105676883321596,0.0011494226182983147,-26.857919374139744
girl be,7696,107,456,6.2479778011100495e-06,0.00010849543010586394,-2.8545520786336116,0.011539070763147244,-26.573732098724165
almond milk,2346,174,450,1.0160262966291108e-05,0.00010706785865710257,-2.355075132772651,0.007969643895096414,-26.380638854963973
se,14457,162,441,9.459555175512411e-06,0.00010492650148396052,-2.4063299412850725,0.008440708326020206,-26.19182306660492
<pronoun> hot,1236,295,489,1.7225733189976304e-05,0.00011634707307405146,-1.9102722507342893,0.0054351160569364974,-25.91139864621959
even hot,6396,406,542,2.3707280254679254e-05,0.0001289572875381102,-1.6938041114814375,0.004308368569327032,-25.805172007258157
❤ ️,19646,3147,1675,0.00018376061813171334,0.0003985303627792151,-0.7743644816712667,0.0009150741972254667,-25.598662227304047
attractive,2992,282,474,1.6466633083299385e-05,0.00011277814445214805,-1.924182556652454,0.005656099677274267,-25.585136957680326
<pronoun> !,1046,1295,942,7.561804908820107e-05,0.0002241287174555347,-1.086673902785586,0.0018340680953136351,-25.374150371724276
broad,4156,90,420,5.2553084308402285e-06,9.993000141329574e-05,-2.9453255509407743,0.01349235674936655,-25.356505260795455
woman be,19004,47,542,2.744438847216564e-06,0.0001289572875381102,-3.8500301233421954,0.02312189795111629,-25.319340393621633
crush on,5176,165,412,9.634732123207085e-06,9.802657281494725e-05,-2.319952212828282,0.008488085718285852,-25.1810688736776
love with,10967,416,529,2.42912034136615e-05,0.00012586421606579392,-1.6451907685576828,0.004294501259932074,-25.10498098102529
german,7464,81,415,4.729777587756206e-06,9.874035853932793e-05,-3.0387091890117794,0.014755610231664376,-25.01557856212155
a woman,2042,136,399,7.941354962158568e-06,9.493350134263095e-05,-2.481179445277432,0.009859501670778599,-24.98795368058638
s so,14224,1024,810,5.9793731479782156e-05,0.00019272214558278464,-1.170481448518311,0.0022114265583553106,-24.890193578745293
... <pronoun>,408,2599,1443,0.00015176162901948617,0.0003433309334271089,-0.8165752383402651,0.0010780603558689047,-24.86993604467013
danish,5326,191,413,1.1152932336560929e-05,9.826450138974081e-05,-2.176047240627142,0.0076572050028666724,-24.86756044138877
torture,17690,433,523,2.528387278393132e-05,0.00012443664461703254,-1.5937289175169376,0.004221810660253552,-24.528166000081555
scarlett,14418,65,406,3.7955005333846098e-06,9.659900136618588e-05,-3.2368444515913293,0.01784796055509698,-24.228555974997086
marry,11188,437,515,2.5517442047524222e-05,0.00012253321601868406,-1.569116752128041,0.004230373041723378,-24.124922455284256
thanos,16105,254,419,1.483164823814909e-05,9.969207283850218e-05,-1.9054075083431457,0.006323938395481825,-23.96039961130868
hot guest,8830,101,366,5.897623905720701e-06,8.708185837444343e-05,-2.6923798866815893,0.01263352456819393,-23.953780902684347
hair,8238,2544,1388,0.0001485500516450838,0.00033024486181346303,-0.7990940543351819,0.0011138391400369522,-23.943446363313004
farm,6704,111,364,6.4815470647029486e-06,8.660600122485631e-05,-2.5924896941313236,0.011756556122454317,-23.90985695755016
so cute,15171,753,659,4.3969413871363245e-05,0.00015679493078895687,-1.2715571951573938,0.0028457680227036595,-23.836152329243415
