season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter
4,15,87,Chris Jericho,0,,1,,,,,,,"chris, jericho"
4,16,88,Gabrielle Union,1,,1,,,,,,,"gabrielle, union"
4,17,89,Wale,0,,1,,,,,,,wale
4,18,90,Bob Saget,0,,1,,,,,,,"bob, saget"
4,19,91,Mario Batali,0,not available on YouTube,0,,,,,,,"mario, batali"
4,20,92,Alexa Chung,1,,1,,,,,,,"alexa, chung"
4,21,93,Logic,0,,1,,,,,,,logic
4,22,94,Casey Neistat,0,,1,,,,,,,"casey, neistat"
4,23,95,holiday special,,,,,,,,,,
4,24,96,Chili Klaus,0,,1,,,,,,,klaus
5,1,97,Taraji P Henson,1,,0,,,,,,,"taraji, henson, taraji henson"
5,2,98,Sasha Banks,1,,1,,,,,,,"sasha, banks"
5,3,99,Von Miller,0,,1,,,,,,,"von, miller"
5,4,100,Rich Brian,0,,1,,,,,,,"rich, brian"
5,5,101,Hannibal Buress,0,,1,,,,,,,"hannibal, buress, hanibal, hanibal buress"
5,6,102,Michael B Jordan,0,,1,,,,,,,"michael, jordan, michael jordan"
5,7,103,Ty Burrell,0,,1,,,,,,,"ty, burrell"
5,8,104,Charlize Theron,1,,1,,,,,,,"charlize, theron"
5,9,105,Adam Rippon,0,,1,,,,,,,"adam, rippon"
5,10,106,Gabriel Iglesias,0,,1,,,,,,,"gabriel, iglesias"
5,11,107,Shawn Mendes,0,,1,,,,,,,"shawn, mendes"
5,12,108,Philip DeFranco,0,,1,,,,,,,"philip, defranco, phil, phil defranco"
5,13,109,Trick Daddy,0,,1,,,,,,,"trick, daddy"
5,14,110,Tyra Banks,1,,0,,,,,,,"tyra, banks"
5,15,111,Alton Brown,0,,1,,,,,,,"alton, brown"
5,16,112,John Mayer,0,,1,,,,,,,"john, mayer"
6,1,113,Johnny Knoxville,0,,1,,,,,,,"johnny, knoxville, john"
6,2,114,Natalie Portman,1,,1,,,,,,,"natalie, portman"
6,3,115,Marques Brownlee,0,,1,,,,,,,"marques, brownlee"
6,4,116,Joel Embiid,0,,1,,,,,,,"joel, embiid"
6,5,117,Tom Segura,0,,1,,,,,,,"tom, segura"
6,6,118,Joji and Rich Brian,0,,1,,,,,,,"joji, rich, brian, rich brian"
6,7,119,Wiz Khalifa,0,,1,,,,,,,"wiz, khalifa"
6,8,120,Al Roker,0,,1,,,,,,,"al, roker"
6,9,121,Michael Cera,0,,1,,,,,,,"michael, cera, mike, mike cera"
6,10,122,Issa Rae,1,,1,,,,,,,"issa, rae"
6,11,123,Rhett & Link,0,,1,,,,,,,"rhett, link"
6,12,124,Jeff Goldblum,0,,1,,,,,,,"jeff, goldblum"
6,13,125,Eddie Huang,0,second appearance,1,,,,,,,"eddie, huang"
7,1,126,Chrissy Teigen,1,,1,,,,,,,"chrissy, teigen, teigan, tiegen, tiegan"
7,2,127,Tenacious D,0,,1,,,,,,,"jack, black, jack black, kyle, gass, kyle gass, tenacious"
7,3,128,Anderson Paak,0,,1,,,,,,,"anderson, paak"
7,4,129,Adam Carolla,0,,1,,,,,,,"adam, carolla, corolla"
7,5,130,Lil Yachty,0,,0,,,,,,,yachty
7,6,131,E-40,0,,0,,,,,,,40
7,7,132,Lilly Singh,1,,1,,,,,,,"lilly, singh, lily, lily singh"
7,8,133,Blake Griffin,0,,1,,,,,,,"blake, griffin, griff"
7,9,134,Bill Burr,0,,1,,,,,,,"bill, burr"
7,10,135,Pete Holmes,0,,1,,,,,,,"pete, holmes"
7,11,136,Vanessa Hudgens,1,,1,,,,,,,"vanessa, hudgens"
7,12,137,Weird Al Yankovic,0,,1,,,,,,,"weird al, al, yankovic"
8,1,138,Gordon Ramsay,0,,1,,,,,,,"gordon, ramsay, ramsey, gordo"
8,2,139,Abbi and Ilana,1,,1,,,,,,,"abbi, ilana, jacobson, abbi jacobson, abby, ilana glazer"
8,3,140,Seth Meyers,0,,1,,,,,,,"seth, meyers, myers"
8,4,141,Ken Jeong,0,,1,,,,,,,"ken, jeong"
8,5,142,Desus and Mero,0,,1,,,,,,,"desus, mero"
8,6,143,Offset,0,,1,,,,,,,offset
8,7,144,Billie Eilish,1,,1,,,,,,,"billie, eilish"
8,8,145,Shaq,0,,0,,,,,,,shaq
8,9,146,Theo Von,0,,1,,,,,,,"theo, von"
8,10,147,Jimmy Butler,0,,1,,,,,,,"jimmy, butler"
8,11,148,Chelsea Handler,1,,1,,,,,,,"chelsea, handler"
8,12,149,Scarlett Johansson,1,,1,,,,,,,"scarlett, johansson, johanson, scarjo, scar-jo, scar, jo"
