season,episode,overall,guest,female_flag,notes,result,url_status,video_id,video_url,video_title,channel_title,done,name_filter,n_comments,mean,variance,positive_ratio,mean_nozero,variance_nozero,mean_1000,variance_1000,positive_ratio_1000,mean_nozero_1000,variance_nozero_1000,mean_toxicity,mean_severe_toxicity,var_toxicity,var_severe_toxicity,mean_toxicity_1000,mean_severe_toxicity_1000,var_toxicity_1000,var_severe_toxicity_1000
2,5,13,Coolio,0,,1,verified,fhcW3cdZKEg,https://www.youtube.com/watch?v=fhcW3cdZKEg,Coolio Talks Hip-Hop Cooking and &quot;Gangsta&#39;s Paradise&quot; Folklore While Eating Spicy Wings | Hot Ones,Complex,1,coolio,978,0.042270143,0.188676359,1.338403042,0.067219837,0.298364315,0.042270143,0.188676359,1.338403042,0.067219837,0.298364315,0.351621408,0.242949987,0.100199347,0.068486554,0.351621408,0.242949987,0.100199347,0.068486554
2,6,14,Joey Fatone,0,,1,verified,0_57CGBe1to,https://www.youtube.com/watch?v=0_57CGBe1to,"Joey Fatone Talks *NSYNC, DJ Khaled, and Guy Fieri While Eating Spicy Wings | Hot Ones",First We Feast,1,"joey, fatone",877,0.17440935,0.228270777,2.227272727,0.239369327,0.297742391,0.17440935,0.228270777,2.227272727,0.239369327,0.297742391,0.314696199,0.20422038,0.083520854,0.053405538,0.314696199,0.20422038,0.083520854,0.053405538
2,7,15,Michael Rapaport,0,,1,verified,f4lxK6EU04k,https://www.youtube.com/watch?v=f4lxK6EU04k,"Michael Rapaport Talks LeBron James, Phife Dawg, &amp; Reality TV  While Eating Spicy Wings | Hot Ones",First We Feast,1,"michael, rapaport, mike",1616,0.084249257,0.219843939,1.469662921,0.123882439,0.318354754,0.1102412,0.215479154,1.670588235,0.161881351,0.308056215,0.397340923,0.281875554,0.113577347,0.080275114,0.37899582,0.266057752,0.110839159,0.075687503
2,8,16,Key & Peele,0,,1,verified,3_9v-7rtVDk,https://www.youtube.com/watch?v=3_9v-7rtVDk,Key &amp; Peele Lose Their Minds Eating Spicy Wings | Hot Ones,First We Feast,1,"key, peele, keegan, keegan-michael, jordan, jordan peele, keegan-michael key",6789,0.140146973,0.196016755,2.112517581,0.214970131,0.284583523,0.1695125,0.219756144,2.155555556,0.23875,0.292985243,0.283394574,0.193944629,0.079535678,0.053243932,0.302206215,0.206162707,0.08568801,0.055255906
2,9,17,Riff Raff,0,,1,verified,iphqdyydiUs,https://www.youtube.com/watch?v=iphqdyydiUs,Riff Raff Goes Full Burly Boy on Some Spicy Wings | Hot Ones,First We Feast,1,"riff, raff",4241,0.054560519,0.161903153,1.459677419,0.094810082,0.277523842,0.054548,0.147240713,1.524038462,0.103900952,0.275330682,0.341018049,0.22764609,0.097464517,0.063464324,0.318749289,0.215995018,0.094595334,0.06171499
2,10,18,Eddie Huang,0,first appearance,0,manually found; verified,SFdR240qaXA,https://www.youtube.com/watch?v=SFdR240qaXA,Eddie Huang Gets Destroyed by Spicy Wings | Hot Ones,First We Feast,1,"eddie, huang",2869,0.058813803,0.230961767,1.331786543,0.083948657,0.327556286,0.0792225,0.221331338,1.479704797,0.117890625,0.3248035,0.3676074,0.25379259,0.111732166,0.075617928,0.347203849,0.242646045,0.10839201,0.072824789
2,11,19,Chris D'Elia,0,,1,verified,tFRjzukT7Es,https://www.youtube.com/watch?v=tFRjzukT7Es,Chris D&#39;Elia Turns Into DJ Khaled While Eating Spicy Wings | Hot Ones,First We Feast,1,"chris, d'elia",1930,0.171715855,0.191888713,2.483606557,0.259930667,0.267537101,0.1806143,0.193350396,2.515957447,0.273244024,0.267201427,0.336275447,0.233045912,0.096610544,0.065979586,0.342935406,0.240354028,0.097915196,0.067165099
2,12,20,Mike Epps,0,,0,verified,pyw73zcYrl0,https://www.youtube.com/watch?v=pyw73zcYrl0,Mike Epps Gets Crushed by Spicy Wings | Hot Ones,First We Feast,1,"mike, epps",1785,0.062539048,0.180064617,1.507972665,0.101391644,0.287991045,0.0553104,0.17283002,1.442622951,0.092802685,0.286503871,0.33841549,0.235931844,0.091680423,0.064381714,0.326401035,0.225823804,0.0873906,0.061303695
2,13,21,Jim Gaffigan,0,,0,verified,2j9N2eS_pzI,https://www.youtube.com/watch?v=2j9N2eS_pzI,Jim Gaffigan Rediscovers His Flop Sweat Eating Spicy Wings | Hot Ones,First We Feast,1,"jim, gaffigan",1793,0.129258951,0.188685257,2.005141388,0.198256031,0.275724391,0.1487801,0.185752425,2.228426396,0.233930975,0.272144135,0.280491719,0.180656056,0.074846344,0.046987685,0.262739672,0.168608829,0.070125389,0.043150795
2,14,22,Carly Aquilino,1,,1,verified,ISjBsmI76KA,https://www.youtube.com/watch?v=ISjBsmI76KA,Carly Aquilino Takes on the Spicy Wings Challenge | Hot Ones,First We Feast,1,"carly, aquilino",1624,0.143197352,0.215843634,2.024324324,0.207821716,0.299822613,0.1507982,0.210136196,2.219047619,0.22307426,0.294729432,0.311956115,0.204368501,0.084198979,0.05457393,0.298963249,0.199328124,0.082198888,0.055021885
